ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Humbert U.,55,20.0,902,1765.0,,,,,,,,,,,0.0,0.0,Walkover,2.5,1.53,2.59,1.56,2.6,1.56,2.54,1.5
1,Brisbane,Brisbane International,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Altmaier D.,14,56.0,2570,891.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.13,7.16,1.15,7.16,1.13,5.83
1,Brisbane,Brisbane International,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Kubler J.,672,102.0,45,631.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.17,5.93,1.18,5.93,1.15,5.22
1,Brisbane,Brisbane International,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Safiullin R.,Arnaldi M.,39,44.0,1122,1021.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.42,3.13,1.44,3.2,1.39,2.96
1,Brisbane,Brisbane International,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Rune H.,Duckworth J.,8,116.0,3660,573.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.17,5.0,1.18,5.7,1.22,5.7,1.16,5.04
1,Brisbane,Brisbane International,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Hijikata R.,14,71.0,2570,744.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.13,6.0,1.13,7.11,1.14,7.13,1.13,5.88
1,Brisbane,Brisbane International,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Thompson J.,Nadal R.,55,672.0,902,45.0,5.0,7.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,6.0,1.13,6.62,1.18,6.62,1.18,5.54,1.14
1,Brisbane,Brisbane International,2024-01-06,ATP250,Outdoor,Hard,Semifinals,3,Rune H.,Safiullin R.,8,39.0,3660,1122.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.63,2.43,1.63,2.63,1.56,2.4
1,Brisbane,Brisbane International,2024-01-06,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Thompson J.,14,55.0,2570,902.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.22,4.33,1.26,4.34,1.26,4.34,1.23,4.07
1,Brisbane,Brisbane International,2024-01-07,ATP250,Outdoor,Hard,The Final,3,Dimitrov G.,Rune H.,14,8.0,2570,3660.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.91,1.91,2.03,1.88,2.03,2.03,1.93,1.86
2,Hong Kong,Hong Kong Tennis Open,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Djere L.,183,33.0,335,1285.0,6.0,7.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,2.3,1.62,2.07,1.83,2.3,1.83,2.13,1.7
2,Hong Kong,Hong Kong Tennis Open,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Kotov P.,Borges N.,67,66.0,791,799.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.0,1.8,2.01,1.88,2.03,1.85,1.97,1.81
