match_id,player,row,pts,pts_won,first_in,aces,svc_winners,rally_winners,rally_forced,unforced,dfs
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Arthur Fils,BP,6,3,5,0,3,0,0,1,0
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Jannik Sinner,BP,0,0,0,0,0,0,0,0,0
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Arthur Fils,GP,13,6,7,1,1,0,1,2,0
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Jannik Sinner,GP,10,9,6,2,4,1,1,0,0
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Arthur Fils,Deuce,10,6,6,0,1,2,1,2,0
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Jannik Sinner,Deuce,2,2,2,1,0,1,0,0,0
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Arthur Fils,STotal,29,15,18,1,5,2,2,5,0
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Jannik Sinner,STotal,12,11,8,3,4,2,1,0,0
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Alexander Zverev,BP,2,2,2,0,1,0,1,0,0
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Flavio Cobolli,BP,11,8,4,1,2,1,2,1,1
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Alexander Zverev,GP,13,9,9,2,3,1,1,1,1
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Flavio Cobolli,GP,8,5,6,0,1,2,0,0,0
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Alexander Zverev,Deuce,4,4,3,0,0,2,1,0,0
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Flavio Cobolli,Deuce,13,8,8,0,1,2,0,3,0
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Alexander Zverev,STotal,19,15,14,2,4,3,3,1,1
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Flavio Cobolli,STotal,32,21,18,1,4,5,2,4,1
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Rafael Jodar,BP,9,7,7,0,3,2,0,1,0
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Jannik Sinner,BP,7,7,4,0,0,4,2,0,0
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Rafael Jodar,GP,12,8,8,1,1,2,2,2,0
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Jannik Sinner,GP,18,10,14,3,2,3,0,3,1
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Rafael Jodar,Deuce,11,8,9,1,2,1,0,2,0
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Jannik Sinner,Deuce,12,9,6,0,2,3,0,2,0
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Rafael Jodar,STotal,32,23,24,2,6,5,2,5,0
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Jannik Sinner,STotal,37,26,24,3,4,10,2,5,1
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Arthur Fils,BP,0,0,0,0,0,0,0,0,0
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Jiri Lehecka,BP,2,0,1,0,0,0,0,1,0
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Arthur Fils,GP,10,10,7,0,2,1,1,0,0
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Jiri Lehecka,GP,10,7,10,3,3,1,0,1,0
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Arthur Fils,Deuce,6,6,5,0,1,2,2,0,0
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Jiri Lehecka,Deuce,7,5,4,1,0,2,0,2,0
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Arthur Fils,STotal,16,16,12,0,3,3,3,0,0
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Jiri Lehecka,STotal,19,12,15,4,3,3,0,4,0
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Casper Ruud,BP,5,4,4,0,2,2,0,1,0
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Stefanos Tsitsipas,BP,12,11,10,0,1,3,5,1,0
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Casper Ruud,GP,18,17,13,2,7,2,5,0,0
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Stefanos Tsitsipas,GP,25,17,16,1,4,8,3,2,2
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Casper Ruud,Deuce,5,4,3,0,1,0,0,0,0
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Stefanos Tsitsipas,Deuce,20,13,11,1,1,6,1,3,1
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Casper Ruud,STotal,28,25,20,2,10,4,5,1,0
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Stefanos Tsitsipas,STotal,57,41,37,2,6,17,9,6,3
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Arthur Fils,BP,5,5,1,0,1,2,1,0,0
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Tomas Martin Etcheverry,BP,5,3,4,0,0,0,1,0,0
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Arthur Fils,GP,15,10,10,2,2,3,0,2,0
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Tomas Martin Etcheverry,GP,10,7,6,1,1,1,2,2,0
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Arthur Fils,Deuce,8,6,5,0,0,3,1,1,0
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Tomas Martin Etcheverry,Deuce,5,4,3,0,1,2,0,1,0
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Arthur Fils,STotal,28,21,16,2,3,8,2,3,0
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Tomas Martin Etcheverry,STotal,20,14,13,1,2,3,3,3,0
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Joao Fonseca,BP,4,1,3,0,0,0,1,2,0
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Rafael Jodar,BP,7,5,6,2,1,2,0,2,0
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Joao Fonseca,GP,17,11,10,0,4,2,2,2,2
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Rafael Jodar,GP,19,13,10,0,4,5,2,4,0
