match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Alexander Zverev,ApproachRallies,2,1,1,0,1,0,0,15
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Arthur Fils,NetPoints,6,3,0,1,0,3,0,41
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Arthur Fils,Approach,3,1,0,1,0,2,0,21
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Arthur Fils,NetPointsRallies,6,3,0,1,0,3,0,41
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Arthur Fils,ApproachRallies,3,1,0,1,0,2,0,21
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Jannik Sinner,NetPoints,12,9,4,3,3,0,0,60
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Jannik Sinner,Approach,7,6,1,3,1,0,0,25
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Jannik Sinner,NetPointsRallies,12,9,4,3,3,0,0,60
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Jannik Sinner,ApproachRallies,7,6,1,3,1,0,0,25
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Alexander Zverev,NetPoints,18,13,4,6,2,2,0,105
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Alexander Zverev,Approach,18,13,4,6,2,2,0,105
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Alexander Zverev,NetPointsRallies,11,8,3,5,2,0,0,84
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Alexander Zverev,ApproachRallies,11,8,3,5,2,0,0,84
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Flavio Cobolli,NetPoints,8,5,2,2,1,1,1,64
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Flavio Cobolli,Approach,6,4,1,2,1,1,0,41
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Flavio Cobolli,NetPointsRallies,6,4,1,2,0,1,1,57
20260430-M-Madrid_Masters-QF-Alexander_Zverev-Flavio_Cobolli,Flavio Cobolli,ApproachRallies,4,3,0,2,0,1,0,34
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Rafael Jodar,NetPoints,16,10,6,2,1,5,0,87
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Rafael Jodar,Approach,4,3,2,1,1,0,0,19
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Rafael Jodar,NetPointsRallies,16,10,6,2,1,5,0,87
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Rafael Jodar,ApproachRallies,4,3,2,1,1,0,0,19
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Jannik Sinner,NetPoints,15,9,6,1,3,2,0,77
